title,image_path,thumbnail_path,description
ghost written,data/works/2016/ghost_written.jpg,data/works/2016/ghost_written_thumbnail.jpg,"Ghost Written, wool, 200×200cm"
ghost written (detail),data/works/2016/ghost_written_detail_01.jpg,data/works/2016/ghost_written_detail_01_thumbnail.jpg,"Ghost Written (detail)"
ghost written (detail),data/works/2016/ghost_written_detail_02.jpg,data/works/2016/ghost_written_detail_02_thumbnail.jpg,"Ghost Written (detail)"
shan hai jing,data/works/2016/shan_hai_jing.jpg,data/works/2016/shan_hai_jing_thumbnail.jpg,"Shan Hai Jing, water color,180×200cm"
shan hai jing,data/works/2016/shan_hai_jing_detail.jpg,data/works/2016/shan_hai_jing_detail_thumbnail.jpg,"Shan Hai Jing (detail)"
