title,image_path,thumbnail_path,description
stone on the water,data/works/2015/stone_on_the_water.jpg,data/works/2015/stone_on_the_water_thumbnail.jpg,"Stone on the water, wood"
stone on the water (detail),data/works/2015/stone_on_the_water_detail_1.jpg,data/works/2015/stone_on_the_water_detail_1_thumbnail.jpg,"Stone on the water, wood (detail)"
stone on the water (detail),data/works/2015/stone_on_the_water_detail_2.jpg,data/works/2015/stone_on_the_water_detail_2_thumbnail.jpg,"Stone on the water, wood (detail)"
different dimension,data/works/2015/different_dimension.jpg,data/works/2015/different_dimension_thumbnail.jpg,"Differenct Dimension, Wood"
different dimension (detail),data/works/2015/different_dimension_detail.jpg,data/works/2015/different_dimension_detail_thumbnail.jpg,"Differenct Dimension, Wood (detail)"
