title,image_path,thumbnail_path,description
desperation,data/works/2017/desperation.jpg,data/works/2017/desperation_thumbnail.jpg,"Desperation, acylic on canvas, 75×75 cm"
fly,data/works/2017/fly.jpg,data/works/2017/fly_thumbnail.jpg,"Fly,60x75cm"
love story,data/works/2017/love_story.jpg,data/works/2017/love_story_thumbnail.jpg,"Love Story, acrylic on canvas, 75×75cm"
selfie,data/works/2017/selfie.jpg,data/works/2017/selfie_thumbnail.jpg,"Selfie, oil on canvas, 40×50cm"
trap,data/works/2017/trap.jpg,data/works/2017/trap_thumbnail.jpg,"Trap, pencil on paper"
untitled,data/works/2017/untitled.jpg,data/works/2017/untitled_thumbnail.jpg,"Untitled, 60×75cm"
