title,image_path,thumbnail_path,description
"CHI-7,oil on board, 6×6 inches, 2019","data/works/2019/CHI-7,oil on board, 6×6 inches, 2019.jpg","data/works/2019/CHI-7,oil on board, 6×6 inches, 2019_thumbnail.jpg","CHI-7,oil on board, 6×6 inches, 2019"
"CHI-2，oil on board, 6×6 inches, 2019","data/works/2019/CHI-2，oil on board, 6×6 inches, 2019.jpg","data/works/2019/CHI-2，oil on board, 6×6 inches, 2019_thumbnail.jpg","CHI-2，oil on board, 6×6 inches, 2019"
"CHI-6,oil on board, 6×6 inches, 2019","data/works/2019/CHI-6,oil on board, 6×6 inches, 2019.jpg","data/works/2019/CHI-6,oil on board, 6×6 inches, 2019_thumbnail.jpg","CHI-6,oil on board, 6×6 inches, 2019"
"CHI-3,oil on board, 6×6 inches, 2019","data/works/2019/CHI-3,oil on board, 6×6 inches, 2019.jpg","data/works/2019/CHI-3,oil on board, 6×6 inches, 2019_thumbnail.jpg","CHI-3,oil on board, 6×6 inches, 2019"
"Bite,oil on board, 6×6 inches, 2019","data/works/2019/Bite,oil on board, 6×6 inches, 2019.jpg","data/works/2019/Bite,oil on board, 6×6 inches, 2019_thumbnail.jpg","Bite,oil on board, 6×6 inches, 2019"
"CHI-5,oil on board, 6×6 inches, 2019","data/works/2019/CHI-5,oil on board, 6×6 inches, 2019.jpg","data/works/2019/CHI-5,oil on board, 6×6 inches, 2019_thumbnail.jpg","CHI-5,oil on board, 6×6 inches, 2019"
"CHI-1, oil on board, 6×6 inches, 2019","data/works/2019/CHI-1, oil on board, 6×6 inches, 2019.jpg","data/works/2019/CHI-1, oil on board, 6×6 inches, 2019_thumbnail.jpg","CHI-1, oil on board, 6×6 inches, 2019"
"CHI-4,oil on board, 6×6 inches, 2019","data/works/2019/CHI-4,oil on board, 6×6 inches, 2019.jpg","data/works/2019/CHI-4,oil on board, 6×6 inches, 2019_thumbnail.jpg","CHI-4,oil on board, 6×6 inches, 2019"
"Fairyland, oil on board, 6×6 inches, 2019","data/works/2019/Fairyland, oil on board, 6×6 inches, 2019.jpg","data/works/2019/Fairyland, oil on board, 6×6 inches, 2019_thumbnail.jpg","Fairyland, oil on board, 6×6 inches, 2019"
